id,created_at,updated_at,message_uuid,payment_type,item_amount,item_uuid,org_id,item_quantity,item_description
e829a185-8a01-4ab5-8ca3-b0f720349f23,2022-04-24 05:15:41.526207+00,2022-04-24 05:15:41.526207+00,06a2759c-cab4-50f3-8767-1906944c1be6,Expense,20,1c07aad1-61a5-44ec-a79f-87a98db1a8a8,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
249760bf-4e85-4d0e-a559-3ff45d9272ec,2022-04-24 11:49:49.587615+00,2022-04-24 11:49:49.587615+00,59d405d4-2062-52fc-8301-26c92c9ea13b,Income,800,fac3afc3-f3c9-4622-90df-2ba8d78f2708,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
c037550b-f633-4fd5-93f8-873cce0db9c2,2022-04-25 07:39:31.89982+00,2022-04-25 07:39:31.89982+00,de08fb96-3f79-5b1c-b6a9-1669135f584b,Expense,200,e56db532-9e5e-4044-9370-cde84ed04f32,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
af2d3a7f-8f93-49c5-9a28-abd768e04046,2022-04-25 12:43:00.64208+00,2022-04-25 12:43:00.64208+00,8b461b06-d451-5515-bebb-12678928b117,Expense,225,1c07aad1-61a5-44ec-a79f-87a98db1a8a8,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
a61558d8-86eb-4217-aac4-bfa8b8cf31a2,2022-04-25 12:47:28.317995+00,2022-04-25 12:47:28.317995+00,c7c59e47-a800-55bf-a56a-72e0be51e2d8,Income,16000,f51c53bb-16a8-4ac1-a4fb-ef85535eb095,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
21227206-0f9b-4f6d-b30d-cf4b3f2af65b,2022-04-25 12:51:16.997196+00,2022-04-25 12:51:16.997196+00,83f5b129-7d45-566e-927b-5de241943b0b,Income,2000,d6cb1f70-1dc6-479a-b542-52fba1f0880a,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
33d59a05-652d-4efb-8231-ee6314aa9817,2022-04-25 14:43:09.08298+00,2022-04-25 14:43:09.08298+00,2be3f700-6626-5915-bd13-e8e3a1b5f4ee,Income,800,fac3afc3-f3c9-4622-90df-2ba8d78f2708,9a22b658-87e9-4118-b0ae-05f6bb6d18a4,1,
30c68389-c686-4c92-9299-e6403d34d9b2,2022-04-26 02:29:23.171628+00,2022-04-26 02:29:23.171628+00,8442c995-daf7-510d-8a42-254e4158b8bb,Expense,20,1c07aad1-61a5-44ec-a79f-87a98db1a8a8,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
8bffac11-cc17-4688-aa08-20c9f39be3e4,2022-04-26 10:26:27.363203+00,2022-04-26 10:26:27.363203+00,457ebc6d-ced1-5373-9a7e-f2d061b23a4a,Expense,0,ce41c0d2-c875-4a9e-9d5c-d3899e532423,80bc5388-5d3a-4452-81a8-5e95c9b2db3e,1,
7e869a60-cd24-44cf-8444-8145179dc539,2022-04-26 10:26:27.369488+00,2022-04-26 10:26:27.369488+00,457ebc6d-ced1-5373-9a7e-f2d061b23a4a,Expense,0,ce41c0d2-c875-4a9e-9d5c-d3899e532423,80bc5388-5d3a-4452-81a8-5e95c9b2db3e,4,
dc0e784f-1e23-4723-b409-0ed821f11e5a,2022-04-26 10:34:05.89433+00,2022-04-26 10:34:05.89433+00,fc0ec674-5663-591a-ab94-cf3944bab44e,Income,2000,8fe41a3e-9daa-47c9-a879-645802df3fde,a68cee9c-69de-4e4f-ac7b-2d8b31c204f1,1,
3c72790d-972c-4c5a-93a5-d56d486dc8f9,2022-04-26 12:03:25.79718+00,2022-04-26 12:03:25.79718+00,0149f5ea-f5cd-53b7-9b3f-bcfdb67981b0,Expense,0,53af3b77-4116-4cd0-84b7-f66c136f4c4d,70839609-322b-4a48-85db-b703d201242d,1,
fa58cb77-ada2-4a1d-bcd4-55102b0d0d2b,2022-04-26 12:04:28.502118+00,2022-04-26 12:04:28.502118+00,e4a68f22-bfa5-5d4f-b58f-096e4168dd50,Expense,20,53af3b77-4116-4cd0-84b7-f66c136f4c4d,70839609-322b-4a48-85db-b703d201242d,1,
b559db81-49e1-4470-b817-e234b4a648e8,2022-04-26 12:05:38.274983+00,2022-04-26 12:05:38.274983+00,c40d0e56-c3eb-52b7-a955-0e3557a57222,Expense,50,77be02bd-9765-45f9-a76e-5f5c2371db45,70839609-322b-4a48-85db-b703d201242d,1,
8d0fcc66-0ae8-435b-8888-e8b5042d56ee,2022-04-27 15:37:49.929819+00,2022-04-27 15:37:49.929819+00,25bab1a1-98c2-5a98-9aa5-5309595a624f,Expense,300,32e0fc68-321a-44b9-b861-a1a4bd5bfaf8,147fa998-f54b-4cc6-81fb-771a4a793916,1,
